"labels","text"
"Present","#SheeSha #PeeeNa #A #Ty #JeeNa #A #DuNiYo #ChO #Ki #LeNa MiaN BiLaL ka ChAsKa drinking smoking shisha"
"Present","#smoking #exwife webcam #abigail police #girl #clapping mexican"
"Present","#vape so hard motherf ckers wanna fine me"
"Present","#vaping in ATL airport bathroom AMA"
"NOT-Present","#where can i buy e cigs disc degeneration nos"
"Present","1 cig takes the stress away"
"NOT-Present","1 day 2 packet cigg really gg"
"Present","1 28AM Sitting outside listening to music and smoking a cigarette #littlethings"
"Present","100 Retweets and I'll quit smoking"
"NOT-Present","100 @ the hookah bar"
"NOT-Present","13 for a pack a cigs you"
"NOT-Present","1st i lost my almost full pack of ciggs Then i lost my phone But it got returned thankfully Then i hit n run a monkey(it survived)"
"NOT-Present","1st we Hit Brooklyn with the cigs then we headed to more boroughs (Marlborough) NJT"
"Present","2 A M Cig break #midnightmadness"
"Present","2 A M Cig break #midnightmadness"
"Present","2 in the morning and I'm still kinda weak again i smoke a cigarette and play another waiting game"
"Present","23 00 Hookah Time"
"Present","2nd im smoke a good 2 5 3gs in a -MENTION- swear i be in my Zone"
"Present","3 Ciggs In 5 Mins Awesome"
"Present","3 ciggs in one break hmm wonder if my adrenalines sky rocketing today haha"
"Present","3 in the morning li'i is knocked out and I'm just vaping my life away"
"Present","3 15 AM Alone time music cigarette and sky gazing"
"Present","30 min break at work quality time w the juul"
"Present","4am smoking a cigarette talking to my fav"
"Present","5 years of cigarette smoking and still no rasp what am I doing wrong here"
"NOT-Present","800 Retweets and I'll start smoking cigarettes"
"NOT-Present","A cigarette and an ice cold beer would be perfect rn"
"NOT-Present","A cigarette would be nice rn"
"NOT-Present","a cigarette would be nice with this coffee"
"NOT-Present","a cup of coffee and a cigarette please #Iwish"
"NOT-Present","A nice glass of -MENTION- and a nice cigar would be amazing right now"
"NOT-Present","A pack of cigarettes and smiroff will hit the spot"
"NOT-Present","a stranger gave me cigg"
"Present","A wild and crazy weekend involves sitting on the front porch smoking a cigar reading a book Robert M Gates #kindle"
"NOT-Present","A year and 3 months clean from #Alcohol amp #Cigs #praiseBeToGod"
"NOT-Present","I really needed to restock on bullets maybe I can get a few cigarettes while we re at it"
"NOT-Present","About to go smoke since I'm up"
"NOT-Present","about to smoke w my co worker than head home to my shower amp bed"
"Present","About to watch this movie n blow this hookah"
"Present","Aesthetic smoking a cig while on the treadmill"
"Present","Aesthetic smoking a cigarette outside the court house with a tank top and pajamas on"
"Present","Again wit the bestie shhhmokin hookah sippin"
"Present","Ah yis smoking shisha with frineds is what a person needs sometimes #Saturday"
"Present","all i do in my break is chug redbull and hit my juul"
"Present","All I do is vape and eat pizza I am truly ashamed of myself"
"NOT-Present","Almost a month and a half without cigarettes and it feels bomb af"
"NOT-Present","Almost halftime for #Gonzaga -MENTION- game get to -MENTION- for a #cigar and the game on the patio #spokane"
"NOT-Present","Almost one year smoke free go me"
"NOT-Present","Already stressed out and realised i'm out of cigs Stressed out even more now"
"Present","alright cig time i'm heated"
"Present","Alright I'm trying to go from cigs to vaping but so far still just seems weird to me"
"NOT-Present","also i lit a cig with a 1975 lighter today and it made me feel as tho i peaked as a Pretentious Indie Fuck"
"Present","Also nothing beats smoking a cig in bed while watching a movie"
"NOT-Present","Am I allowed to smoke cigs in my dorm #ReplyTweet"
"Present","am I late to this Diet Cig party"
"Present","And at the end of the night it's only music cigarettes in the darkness of four walls loneliness and myself #goodnight"
"NOT-Present","And by productive I put on a face mask and have a cigarette That's productivity to me"
"NOT-Present","And i just threw my vape away"
"Present","And I love me some marlboros lol"
"Present","And my vape already taste like coal"
"NOT-Present","And on that note i have to go smoke"
"Present","And still sitting here (my vegetables are still in the kitchen)drinking coffee and smoking cigarettes dam I'm fucking tired"
"NOT-Present","Any suggestions on good bar cigar bar spots Possibly with a kitchen that's open late"
"NOT-Present","Any1 in col wanna come for a cig break lol"
"Present","Anyhow I'm celebrating cigar and White Remy UNC won different V new life coming"
"NOT-Present","Anyone know where I can get shisha tobacco in Ealing Ta"
"NOT-Present","Anyone tryna smoke this evening"
"NOT-Present","Anyone wanna smoke rn I'll pick you up ("
"NOT-Present","Anytime a Buckcherry song comes on I'm instantly back in middle school sneaking cigs out my window trying to be the most tragic person #tbt"
"Present","Smoking reading the Bible listening to more life"
"Present","Arturo Fuente Curly Head Deluxe Yes please Just puffed one up so nice Smooth mild and nutty #cigar #herf #Portland"
"Present","As bad as it is a cigarette before bed always calms me"
"Present","As I smoke a cigar in Napa valley while waiting on room service I realized #LifeIsGood"
"Present","At 'the hatter' a bit worse for wear and smoking cheap cigarettes yeahhh boyeeee Lol"
"Present","at Fog Hookah Bar"
"Present","At meineke with an ice cream and cigarettes"
"Present","At one point I would get offended if a cashier carded me for cigarettes but now I just take the compliment"
"Present","at school i'd reward myself for hitting certain word counts with sweets and now it's moved onto cigarettes i love evolution"
"Present","at the hookah bar like I ain't got work tom ("
"Present","Attempting to pluck my eyebrows while smoking a cigarette"
"NOT-Present","Awesome potato chips sleep fast cigarettes soon"
"NOT-Present","Ay bro u mind if I hit ur juul mine ran outta juice"
"Present","back at it again w the crying while listening to brand new outside smoking cigs"
"Present","Back on the vaping ting"
"Present","Back porch coffee cigarette peace"
"Present","Back to my wine and cig nights I'm feeling fucking fancy"
"NOT-Present","Basically got paid to smoke cigarettes and play 8 ball pool today"
"Present","Beach hookah"
"Present","because im sick im drinking pineapple juice instead of coffee while smoking"
"Present","been shamefully watchin friends and smokin cigs in my room all night and every time i light a cigarette chandler pulls one out"
"Present","Beer 'n cigar o'clock"
"Present","Beer and hookah"
"Present","Beer in one hand cigar in another and no limit at the table #casino #14"
"Present","Beer pizza a littlr bit of smoke plus some -MENTION- on the speakers my Saturday night #capebreton #mylife #cbd"
"Present","Being an adult is smoking a cigarette and drinking out of a juice pouch at the same time"
"Present","Between the shite diet the smoking and the regular sleep deprivation am probably set to look about 50 by the time am 23"
"NOT-Present","Beyond happy i dont smoke cigarettes anymore"
"Present","BlackFriday BlackFriday is too good for me because i used electronic cigarette which i missed a lot"
"Present","Blowin hookah listening to good vibes"
"Present","Blueberry mint hookah amp an L Wake amp Bake lit"
"Present","Bottle of wine and a cigar life has a meaning"
"NOT-Present","bought my 1st #ecig bc there's in new #house commune I'm livin in Been thinkin ab switching to #vaping anyway so I'll c how this goes"
"NOT-Present","Bought some wine amp a personal henny amp got my hookah My Thursday"
"NOT-Present","Bout to relax and smoke Who should I listen to"
"NOT-Present","Bout to sip Dusse and smoke hookah and hopefully play 2k"
"NOT-Present","Boutta Start Smoking Cigarettes"
"NOT-Present","Boy I can't w8 to vape hydrogen cyanide"
"NOT-Present","Bring cigs to 67th"
"NOT-Present","Bring me a cig plz"
"NOT-Present","Bring me a cigar I'm in the burg"
"NOT-Present","bring me cigs if you real"
"NOT-Present","Bring us cigarettes or booze SOS"
"Present","Bubbly amp hookah w -MENTION-"
"Present","Bumpin earl sweatshirt smoking cigarettes till my chest hurt"
"Present","but am still friends with a Vape pen hanging out"
"NOT-Present","but first i need to go to the liquid store to buy new liquids for my e smoke"
"Present","but honestly chillen on my roof smoking sounds much better rn"
"NOT-Present","but i need money for cigarets"
"NOT-Present","but i need money for cigarets zzzzzzzzzzzzz xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx"
"NOT-Present","but I promised to go to hookah"
"NOT-Present","But I tried this mint flavor OMG I b wanting to smoke hookah erryday now"
"NOT-Present","Can I just be home with my pipe in bed smoking"
"Present","CAN I SMOKE IN PEACE NOW FOR THE LOVE OF JEON"
"NOT-Present","Can someone drop me a pack of cigarettes pls"
"NOT-Present","Can someone find me some blackberry peach vape juice"
"NOT-Present","can someone get me a pack of cigarettes"
"NOT-Present","can someone pls buy cigarettes for me i is broke"
"NOT-Present","Can someone recommend me good food place with shisha too please thanks xx"
"Present","Can't be wit me if you don't know how to set up the hookah"
"Present","Can't breathe too much alc ane cig"
"NOT-Present","can't find my ecig and I'm about to start throwing shit"
"Present","Can't just be me that thinks sterling menthols are the tackiest cigs going"
"Present","Can't sleep watched rise of the foot soldier already might as well stick on nmb2 #insomnia #sober #vaping #aspire"
"NOT-Present","Can't sleep I need a cigarette so bad but don't wanna go out in the rain and I refuse to make my lil girl a victim of secondhand smoke"
"Present","Can't smoke w anyone who holds the smoke in they mouth like a bitch"
"NOT-Present","can't wait to be able to buy my own cigarettes and give myself lung cancer"
"NOT-Present","Can't wait to get back to the pad set up the hookah and bump the new Mike Will Trey Songz Goldlink and Raekwon"
"NOT-Present","Can't wait to smoke this bluntt"
"NOT-Present","Can't wait until I can smoke again"
"Present","Cant beat a shisha and a mint tea to wind down"
"Present","casually smoking a cigar using the restroom i'm actual goals"
"Present","Casually standing outside in my boxers and flip flops smoking a cig"
"Present","CATCH ME IN MY BACKYARD SMOKIN HOOKAH AND CRYING TO MADIBA RIDDIM ALL SUMMER 17"
"NOT-Present","Caught a plug caught a play time 2 smoke again"
"Present","cause I'm a whiskey drinking fight provoking cigarette smoking dude I got a problem with my attitude it's hard for me to keep cool"
"Present","cause I m a whiskey drinking fight provoking cigarette smoking dude I got a problem with my attitude it s hard for me to keep cool"
"Present","Cause of all the latest shit i become addicted to cigarettes But it's actually beautiful"
"Present","Chain smoking"
"Present","Chain smoking at 1 am"
"Present","Chain smoking cause I'm stressed"
"Present","Chain smoking cigs by myself What else is new"
"Present","chain smoking cigs to make myself feel better"
"Present","Chain smoking coz why not I'm stressed as fuck"
"Present","Chain smoking in the whip it's hard to breathe"
"Present","Chain smoking till my lunges collapse"
"Present","Cheering on Team USA in the WBC with Dunbarton Tobacco amp Trust Mi Querida Ancho Largo"
"Present","Chewin up my cigarette and smokin my gum"
"Present","Chillin at the hooka lounge and played -MENTION- pump it up and that shit still go"
"Present","Chilling at the hookah bar getting faded"
"Present","chowess' gf looooves cigarettes"
"Present","Cig and coffee mode"
"Present","Cig break"
"NOT-Present","Cig cravings are strong today"
"NOT-Present","cig n coffee n hug would b nice"
"Present","Cig then taking advantage of Kaia sleeping and letting myself nap"
"NOT-Present","Cig Finish cleaning then maybe bed What is sleep tho Jk Ha"
"NOT-Present","Cigar and cigarette ashes As I open all my luggage up"
"Present","Cigar on the front stoop Listening to some older Gaslight Anthem tracks Casanova Baby"
"NOT-Present","Cigar run but the rain smh"
"Present","Cigar time"
"Present","Cigar time"
"Present","Cigar time with a coat Just winter"
"Present","Cigar time with a coat"
"Present","Cigar time"
"Present","cigar wine amp dominoes sunday funday"
"Present","Cigar Cognac ""Trouble Man Heavy Is The Head"" album all while sitting on my front porch #LifeIsGood"
"Present","Cigarette in my pocket I think that's a problem"
"NOT-Present","Cigarette time"
"Present","Cigarette time is the right time at night time in my time xx"
"Present","Cigarette to erase the stress"
"Present","Cigarettes amp Cush #Merky"
"Present","Cigarettes and cheap coffee"
"Present","Cigarettes and coffee and whiskey #itsawrap"
"Present","Cigarettes and coffee r my favorite thing in the world"
"NOT-Present","cigarettes and jazz music very much needed rn"
"Present","Cigarettes and trucker hats my Saturday nights"
"Present","cigarettes for breakfast"
"Present","Cigarettes make me poop too"
"Present","Cigarettes on cigarets my mama think I stink"
"Present","cigarettes rainy nights and existential dread"
"Present","Cigarettes sun block and cheap liquor"
"Present","Cigg break"
"Present","cigs over food"
"Present","Cleaning my house is also an activity I didn't know I enjoyed Cleaning while jamming while smoking then sleeping Bliss"
"Present","Cleann apartment smoking and waiting for my baby to bring me home my friendlys"
"NOT-Present","Coffee amp cigs ain't sittin too well this morning"
"Present","Coffee and a cig wake ya up but make ya shit"
"Present","Coffee and a cigarette for me milk and a granola bar for baby Adventure Time for wifey and sleep for Daddy #polyparenting"
"Present","Coffee and cig"
"Present","coffee and cig"
"Present","Coffee and cig while waiting on my truck happy Saturday"
"Present","coffee and cigarette"
"Present","Coffee and Cigarettes are best when shared with you"
"Present","Coffee and cigarettes are my guilty pleasure"
"Present","Coffee and cigarettes at 2pm counts as breakfast right"
"Present","Coffee and ciggs smell phenomenal together"
"NOT-Present","Coffee and cigs would be perfect right now (((("
"Present","Coffee stained lips and cigarette stained fingertips in summer"
"Present","Coffee a cigarette and a good book"
"NOT-Present","Come to the hookah lounge"
"NOT-Present","Considering smoking just so my ass won't hurt as much just so I can ride my bike somewhere to smoke lmao"
"Present","Constantly smoking sipping and stitching NoSleep"
"NOT-Present","Could have lit the hooka on my break too smh"
"NOT-Present","Craving for a cigarette"
"Present","Crib turned hookah bar"
"Present","Current mood listening to alomar in my garage smoking cigarettes and trying to write music"
"NOT-Present","Currently having flashbacks to smoking hookah with -MENTION- in some random dudes basement An interesting night"
"Present","Currently sitting naked on my bathroom floor smoking tobacco from a pipe"
"Present","Currently smoking a cig outside of Hardware alone #loser #help"
"Present","Currently smoking shisha"
"NOT-Present","currently so happy because my besties and i just got our hookah"
"Present","currently vaping my life away"
"Present","Cuttin liquor an tobacco out of my life"
"NOT-Present","dam this cig buzz got me fukd up"
"Present","Damn Bitch I can't even smoke a cigarette cause mfks think I'm doing voodo TF"
"NOT-Present","Damn hookah made me light headed"
"Present","Damn I've been coming home from work smoking and knocking out then waking up early af"
"Present","Damn my cousin is really a snake for telling my mom I smoke hookah like mind ya shit bitch"
"NOT-Present","Dania comes over we smoke have some good laughs now I'm schleep"
"Present","Dark liquor and cigar smoke"
"NOT-Present","Dave reaching for a cigarette all night lmao"
"NOT-Present","Dawg I just tried to vape and I couldn't take myself seriously I just busted a gut I can't"
"NOT-Present","Day 8 off the ciggs This shit is easy haha #LifeGoals"
"NOT-Present","Deadass bout to watch scandal and smoke my face off"
"NOT-Present","Dear some one take me to #Hawaii so that I can vape w the -MENTION- familitty #nodiggity #nodoubt"
"Present","Debating on hotbocing my car w this cig so I don't have to stand outside in this cold"
"Present","Deep convo amp Good smoke"
"NOT-Present","Def just went for a drive and smoked almost an entire pack in an hour"
"Present","def wanna work on quitting smoking"
"Present","Definitely almost just walked into the dorm with my lit cig"
"Present","Definitely cigar time lol"
"Present","Devon told me there are 18 empty packs of cigarettes in my car oops"
"Present","Dinner wine and hookah"
"NOT-Present","Dinner coffee hookah pool My study night lol"
"Present","Dip and cigarettes are huge turn offs for me"
"NOT-Present","Do I get a new vape or nah"
"NOT-Present","Done smoking"
"NOT-Present","Done smoking for a while getting back with the flow of the basketball"
"NOT-Present","Donnas trying to teach me how to roll cigs n it reyt int working out n am just getting angry"
"Present","Drakin and smoking right now haha #IfYoureReadingThisItsTooLate #Madonna"
"NOT-Present","Dressing up for polaroids and cigarettes"
"Present","Drinkin' and Smokin' Cigarettes The Reverend Horton Heat"
"Present","Drinking coffee smoking cigarettes listening to amazing songs playing foozeball Then going in to face the grind"
"Present","Drinking cognac and smoking a cigar at a speakeasy on Miami Beach I think I've reached my final form"
"Present","Drinking getting tatted smoking hookah good lil Wednesday for me and mine"
"Present","Drinking wine with old cigarettes Listen to Eden Eden is Eden"
"NOT-Present","Driving my drunk ass to get cigs see ya on the flip side"
"NOT-Present","dropped my half smoked cigarette in a puddle if this isn't the world's way of telling me to kill myself i don't know what is"
"Present","drowning my sorrows in coffee and cigarettes"
"Present","drunk wearing fuzzy socks my shawdy's dress pastel colors n a bucket hat smoking a cig listening 2 mac demarco who am i '("
"NOT-Present","Drunken Stay at Home FB Chihuahua Mom completely wiped out her profile and changed her relationship status I need a cigarette for this"
"NOT-Present","Dude I haven't smoked a cig all day"
"NOT-Present","Early Tuesday morning Coffee and cigarette time"
"Present","Eating A Home Cooked Meal amp Vaping gt gt gt gt Is Life Right Now"
"Present","Either we smoking or we drinking or we at eachother throats"
"Present","Empire hookah and wine My nights lit By my damn self"
"Present","end up buying a new pack cause i left my ciggs at home"
"Present","Enjoy it cause it'll just fucc the cash up in a church and used the flame to light a cig and i am drunk"
"Present","Enjoying hookah in our garage while watching the rain come down on this cool march night Baby sound asleep Life is grand"
"NOT-Present","Even looking at a cartoon cigarette makes me crave one the fuck"
"Present","ever since i got my juul cigs are like gross to me i can't even smoke a whole one woo"
"Present","every time I go out for a cig i disappoint my parents more"
"NOT-Present","Every time I listen to Green Day I just want to smoke a cig and knock down mailboxes"
"Present","Every time I smoke I lose my frames or shades and end up having to buy more"
"Present","Every time we go to the hookah bar we make sure it stays lit"
"Present","Everyone is at the beach and I'm vaping in my room car"
"Present","everyone makes fun of me for rotating cig brands but VARIETY IS THE SPICE OF LIFE B TCH"
"NOT-Present","Everyone's tryna make a shisha plan and I'm like let's smoke in the park on Markham steeles and this guy thought I'm ded serious"
"Present","Everytime I decide to make a hookah at this time I don't regret it lmao"
"Present","Everytime I smoke in my room and then fall asleep I have nightmares"
"Present","Everytime i stop smoking for a few days everything piss me off"
"Present","EVERYTIME I'm with Peedi or nykeria I have to smoke too much"
"Present","evr hold ur cig smoke in xtra long hoping it kills u faster"
"Present","Facebook is harder to resist than cigarettes and alcohol"
"Present","favorite part of coming home in smoking in my bed"
"Present","favorite past time is literally just smoking by myself"
"Present","favorite vaping time"
"Present","Finally vape in peace"
"Present","Finishing off my 18th with cough drops cold medicine and cigarettes"
"NOT-Present","First luck cig i flipped was the day that fancy girl accepted my friend request before she did and from that day I never missed a lucky cig"
"NOT-Present","fk forgotten my cigg"
"Present","Flip that cigar click that torch and light that mofo up Good morning beautiful peeps #cigarlife"
"NOT-Present","Food n cigar run"
"Present","Food on the grill Patron in my cup and a lil hookah"
"NOT-Present","FoodPorn I just started a whole30 Decided to full clean with no tobacco and no coffee for me #whole30 #cleaneating"
"NOT-Present","For some reason cigs taste like shit on hwy 37"
"NOT-Present","Forgot my medication Forgot my phone in the car Dropped my cigar in a puddle just after lighting it worst fucking start to my night"
"Present","Fresh tobacco"
"Present","Freshly build vape Oh yessss"
"NOT-Present","fuck i forgot about cigarettes and saints"
"NOT-Present","Fuck I wish I can have a smoke even though I'm not smoking Work is hectic this morning"
"Present","Fuck my cig addicting man"
"NOT-Present","fuck my fucking dog life i forgot to bring my cigg to work"
"NOT-Present","Fuck you and I'm gonna be naughty with my cigarette"
"NOT-Present","Fuck I fell asleep writing with a cig and burned my enter button Thank God I can buy an external keyboard for cheap #macforlife"
"NOT-Present","Fuckin vape gave me the hiccups"
"NOT-Present","Fucking hooka got my head hurting"
"NOT-Present","Fucking miss my vape already"
"NOT-Present","Full disclosure Me and Grover Norquist vaped with some guy who looked an awful lot like the Russian ambassador last summer"
"Present","FYI I don't smoke cigarettes no more"
"Present","G I'm tired of smelling cigarettes"
"NOT-Present","G that hookah got my head spinnin I'm Finna lay it done wtf"
"Present","Gah every time I nip out for a cig the heavens open It's like Travis at V Festival 2000 all over again"
"Present","Get out of my room I'm vapeing"
"Present","gettin carded for tobacco products really pisses me off"
"Present","Gettin' pretty good at droppin' the e cigarette to the floor off my lap every single time I stand up"
"NOT-Present","Getting a carton of cigs and a large pizza soon"
"Present","getting drunk at 2 41 by myself and smoking a whfole pack of cigs cool"
"NOT-Present","getting our spare room converted into a smoking area"
"NOT-Present","Getting the hooka ready"
"NOT-Present","Give me a cigarette and a glass of wine to calm my nerves"
"NOT-Present","Give me a cigarette my nerves is back"
"NOT-Present","Give me three cigarettes to smoke my tears away"
"NOT-Present","Give to me cigaret"
"NOT-Present","glad my 1st experience with vapeing wasnt with a gross juice #smokefree5months"
"Present","Glass of wine great friends cigar lounge #fridaynight #thisisthelife"
"Present","Glass of wine cigarette amp Tchaikovsky I'm so cultured innit"
"Present","god damn there's something about smoking a cigarette in bed I'm in love with"
"NOT-Present","goin to the hookah bar saturday"
"Present","going back to vaping"
"Present","Going on like I don't smoke 45685 cigs a day"
"NOT-Present","going outside to smoke but it's too fucking cold to finish a cigarette"
"NOT-Present","Gonna smoke and listen to Alan Watts"
"Present","Good Morning Everyone Coffee and Cig"
"Present","Got a Dab rig vape and some sugar wax learned quickly dabing and vapeing is life #onemore"
"Present","got a face mask on n i'm smokin a cig sippin coffee on my back porch in my silk robe and excessively fuzzy pink slippers this is l i v i n"
"Present","Got all my hookah stuff now"
"NOT-Present","Got drunk woke up to all my kitchen stools knocked over a cig on my floor and my tv broken"
"Present","Got glass of red wine a cigarette Sitting out in deck while neighbor plays classic Blues and Jazz on stereo #lifeisgood"
"Present","Got my brews got my smoke got my pen n my pad #InMyOwnZone #LikeThat"
"NOT-Present","Got my cigg at bpp hahahaha lazy find at hillion so big"
"NOT-Present","Got my vape coming in the mail and Apple Watch this weekend"
"Present","Got the hookah going"
"NOT-Present","got the incense lit its smoke time"
"Present","Got the patio furniture back out cigar lit beer cracked my kinda weather #HappyKyle #HappyMilo"
"Present","Gotta stop smoking drunk cigs"
"NOT-Present","Grab a bottle food and light the hookah over going out anydayyy"
"Present","Granny just passed my uncle out here smoking glass"
"NOT-Present","Guess I should smoke a cigg and try and sleep"
"NOT-Present","Guy at McDonald asked if we wanted to smoke"
"NOT-Present","ha ha ha ha ha I burnt half my eye lashes off with a lighter trying to smoke while also laying down"
"Present","Half time at work smoke session"
"NOT-Present","hand me a cigarette dawggggg"
"Present","Hanging out by myself drinking and smoking and hooping The life"
"NOT-Present","Haven't been to the hookah bar in a long time"
"NOT-Present","Haven't been to the hookah bar in forever forgot how to smoke it"
"NOT-Present","haven't even had my juul for 2 months nd it won't charge anymore"
"NOT-Present","Haven't hit a blunt in 5 months bout to turn to cigarettes"
"NOT-Present","Haven't smoked in a month Them paccs keep me calm tho"
"NOT-Present","haven't smoked in idk how long so tbh I don't even know how it feels to smoke in your own shit"
"NOT-Present","Haven't smoked in two weeks"
"NOT-Present","Haven't smoked my e cig in two days or put a smoke in my mouth don't even want to either taste will be rotten"
"Present","Having a cig and talking to Daren about life on the garage steps will 4ever be my favorite thing to do"
"NOT-Present","Heading down for coffee and cig"
"NOT-Present","Heading to a cigar bar"
"Present","hello my name is je4emy and I love to vape"
"Present","Hereby marking the time of my last and final cigarette"
"NOT-Present","hey twitter just got back from the gym now im gunna go vape and mod out my car"
"NOT-Present","hi someone pls bring me taco bell and cigarettes to hooters i work a double and ill kiss u or something"
"Present","Hi #blunation I'm currently enjoying my e cig's in Vanilla and Caramel Cafe'"
"NOT-Present","Hi I want to use a UK registered card for delivery of Juul Pods and Juul starter kit to a US (NYC) address Is that possible"
"NOT-Present","Hit the vape pen salute the flag grab a pussy and go squat 315 x 5"
"NOT-Present","Hm #NoSmokingDay I quit decades ago but am inclined to go buy a packet of cigs today just to demonstrate I won't be constrained by taboo"
"Present","Hold tight all my early birds coffee and a cig then its a 170 studio sesh and gambling on footy long live saturday mornings"
"Present","Home alone smoking typical weekend"
"Present","Home alone with coffee cigarette and music This is a good morning"
"Present","Home alone smoking playing piano"
"NOT-Present","hooka bar tonite 9 until 754 marshall rode for my bday"
"NOT-Present","Hooka bar for my birthday no pants just dresses and skirts"
"NOT-Present","Hooka bar kinda night"
"Present","Hooka is dead ass trash that shit gives me a crazy ass headache"
"Present","Hooka with my girls"
"NOT-Present","Hookah tonight till I'm off the shits and the room feels like a MerryGoRound OFFF THE SHITTTTS"
"Present","Hookah amp Movies"
"Present","Hookah amp wine"
"Present","Hookah amp wine"
"Present","Hookah and beer"
"NOT-Present","Hookah and beer type of night"
"Present","hookah and drinks"
"Present","Hookah and Hennesey the way to my mean ass"
"Present","Hookah and ice cream"
"Present","hookah and study part 5 is going pretty good"
"Present","Hookah and venting with my babe -MENTION- Hannah N"
"Present","Hookah and wine"
"Present","Hookah and working on music in my zone"
"Present","Hookah bar"
"Present","Hookah bar surprise"
"Present","Hookah bar gt gt gt"
"NOT-Present","Hookah bar again on Friday"
"NOT-Present","hookah bar bound"
"Present","hookah bar for lil Georges bday lol"
"Present","Hookah bar"
"Present","Hookah bar"
"Present","Hookah Bar"
"Present","Hookah bar now"
"Present","Hookah bar pull up"
"NOT-Present","Hookah bar this weekend"
"NOT-Present","Hookah Bar This Weekend"
"Present","Hookah bar time Someone come thru"
"NOT-Present","Hookah bar tonight"
"Present","Hookah bar w my beautiful baby girl -MENTION-"
"NOT-Present","Hookah bar w my bros soon"
"Present","Hookah bar with bae"
"Present","Hookah Bar with the gang"
"NOT-Present","Hookah bar"
"NOT-Present","hookah breath"
"NOT-Present","Hookah dead Time for bed"
"NOT-Present","Hookah got my head on fire"
"Present","Hookah is real love"
"NOT-Present","hookah lounge anyone"
"Present","Hookah lounge byob till 5ish"
"Present","Hookah Lounge playing trash right now"
"Present","hookah lounge with my ff -MENTION-"
"Present","Hookah lounges in queens real wocky lol"
"Present","Hookah thurs"
"Present","Hookah time"
"Present","HOOKAH TIME -MENTION-"
"Present","Hookah time #Ultra2017"
"Present","Hookah time"
"Present","hookah time"
"Present","Hookah time"
"Present","Hookah x Wine"
"Present","Hookah brunch latt s and my turtle"
"NOT-Present","how do I order to smoke"
"NOT-Present","how i spend 200 @ the hookah bar"
"Present","How much street cred do i get for vaping #vape #vapemaster"
"Present","How tf do I find myself happy vaping over rolling a cig Younger me is so disappointed"
"Present","hugewasteofmoney I need to stop smoking cigarettes hugewasteofmoney"
"Present","i accidentally learned how to do that dragon vape trick thing i now promote myself to ultimate vape lordt"
"NOT-Present","I aint smoke hookah since sat im doin better"
"Present","i almost burned myself with my cigarette wildt"
"NOT-Present","I almost set my hair on fire trying to lit up my cigarette"
