"labels","text"
"NOT-1stPerson","""He looks like he smells like cigarets for a living """
"1stPerson","""heartburn why "" i ask finishing another cigarette and another cup of coffee"
"1stPerson","""Hey can I take a sip of your juul bro"""
"NOT-1stPerson","""How can he drink this "" ""It's all that snorting tobacco and ass licking He ain't got no taste buds"""
"NOT-1stPerson","""How "" She remove some cigarettes from her pocket also placing them on the table As she gaze at his arm"
"1stPerson","""I brought my hookah pen to a One Direction concert "" -MENTION-"
"NOT-1stPerson","""I feel like ur a fish out of water without your juul"""
"NOT-1stPerson","""I got it make Bitch Please deny a #Cigarette "" said the 54 year old man to his colleagues moments before he leaves for divorce court"
"1stPerson","""i had to load up i hadn't smoked in 4 hours"""
"NOT-1stPerson","""I jerk off smoke five cigarettes and let the sadness take over til I fall asleep Simple "" MTD"
"1stPerson","""i know smoking is bad but my reason for smoking is worse """
"1stPerson","""I listen to kali uchis and raury smoke cigs take artsy pictures and Quentin Tarantino is my favorite movie director I swear I'm unique"""
"1stPerson","""i want to try mind altering drugs"" ""i vaped once"""
"NOT-1stPerson","""i went home smelling like cigarettes and shame"""
"1stPerson","""I'll vape to that"""
"1stPerson","""I've got the 'tinglies' this cig is sending me under"" -MENTION-"
"1stPerson","""I've had three cigarettes today one cup of coffee four Oreos and one chicken strip"" -MENTION-"
"NOT-1stPerson","""If Julie were a juul I'd smoke her all day"""
"1stPerson","""Im coming over to smoke a cig"""
"1stPerson","""im still an angel im just a vaping angel now"""
"NOT-1stPerson","""It's time for a cigarette and a beer "" things my Mom's boyfriend says"
"NOT-1stPerson","""Italy has the best cigarettes and the best men"" my Nan ladies and gentlemen"
"NOT-1stPerson","""LET'S GOOOOO STATES "" #ItIsntJustForSoccer Jim Leyland smoking cig drinking Scotch while walking to mound #TeamUSA #WBC -MENTION-"
"NOT-1stPerson","""MAN It's hard to light this cigarette in this Tornado"" lt (the last words of someone trying to quit smoking in a stupid way )"
"NOT-1stPerson","""men are like cigarettes dangerous poisonous and stupid"""
"NOT-1stPerson","""More Life"" sounds like a hookah bar in Kingston"
"NOT-1stPerson","""My mom don't burn anything but cigarettes"" -MENTION-"
"NOT-1stPerson","""my vape is dead"" I can't with uca girls"
"1stPerson","""Security snatched my juul and now waiting to get suspended FML"" headASS"
"NOT-1stPerson","""shisha and live music"" mercredi dans ma fac mdr okkkkkk"
"NOT-1stPerson","""stay strong what did his juul break """
"NOT-1stPerson","""Stirring up ashes trying to find passion where there's no love left is like trying to put smoke back in this cigarette"""
"NOT-1stPerson","""Take em one by one tie em up line em up Treat em like a cigar fire them niggaz up"" Ghostface Killah"
"NOT-1stPerson","""Tebow needs to realize that liquor tobacco and pussy makes great baseball players Not god and a good attitude "" Babe Ruth -MENTION-"
"NOT-1stPerson","""That guys vaping How dorky"" momma hilzley"
"NOT-1stPerson","""That's a cowboy killer Marlboro red"""
"NOT-1stPerson","""those cigrette cigarello cigar ette cigars those are the WORST my mother"
"NOT-1stPerson","""We burn faster than the cigarette in my mouth"""
"1stPerson","""What's wrong "" Me takes long drag off cigarette ""My sketchers just don't light up anymore """
"NOT-1stPerson","""You bought my son tobacco products "" Just Big League Chew amp Candy Cigarettes So Yeah Oops #happybirthday #indianaGirl #amazingCandy"
"NOT-1stPerson","""You vape bro """
"NOT-1stPerson","""you've drank amp smoked away all your brain cells"" me shit probably"
"1stPerson","crosses legs lights cigarette and waits another 35 million years for the Submergence trailer to drop"
"1stPerson","i take a drag from my cigarette hirijihara's pretty boring but i'm here for asano my good girl the light of my life"
"NOT-1stPerson","Steals one of -MENTION-'s cigarettes"
"NOT-1stPerson","@ the dude w the Lamborghini outside of the e cig place pls stfu ppl are trying to sleep (or study)"
"1stPerson","@ The Hookah Bar"
"NOT-1stPerson","-MENTION- santore exhales the juul black woman and her son walk by ""Don't open your mouth in here"" black woman"
"1stPerson","sipping this hot tea amp smoking this cig"
"NOT-1stPerson","blows Os with dab smoke"
"1stPerson","Casually sits at a bar with a beer amp cigarette burning in an ash tray"
"1stPerson","coughs so hard i drop to my knees and vomit yeah i vape"
"1stPerson","does vape tricks in front of sanae"
"1stPerson","falls in love with a cigarette"
"NOT-1stPerson","flicks cigarette good Good for you"
"1stPerson","forgets pack of cigs in another state me can you mail them to me"
"NOT-1stPerson","french inhales with a vape pen mmm yes the pinnacle of sophistication"
"NOT-1stPerson","Gentle's quietly sitting in the red messhall smoking a cigarette deep in thought by the look of things"
"1stPerson","gets intense cough wow it's a great time to smoke some menthol cigs that'll definitely help me feel better"
"NOT-1stPerson","googles smoking v vaping in a ven diagram"
"1stPerson","holds a cig in my hand me wow I feel sexy"
"NOT-1stPerson","John Boehner checks Twitter chuckles lights cigar and orders another Lagavulin #TrumpCare"
"1stPerson","remembers that time i lit a cigarette using the stove top and burned my hair"
"1stPerson","rolls eyes lights another cigarette"
"NOT-1stPerson","shinji ikari voice ""asuka what are you doing "" THAT fucking asuka voice ""im VAPING idiot boy """
"NOT-1stPerson","sighs Friend what's wrong takes long drag of cigarette Me my sketchers don't light up anymore ("
"NOT-1stPerson","takes a drag of my cigarette heh 140 hours of mercy changes a man kid"
"1stPerson","unplugs grandpas life support to charge my vape"
"1stPerson","waits patiently for Cindy Allen to freak out about the Blackbeard Cigar purchase on my debit"
"1stPerson","Time to eat Lasagna and smoke HOOKAH and play DBZ or watch RWBY"
"NOT-1stPerson","gt me watching aozora no rhapsody MV This is a great song ssg fhana gt me watching the actual maidragon OP wtf am I smoking"
"NOT-1stPerson","lt -MENTION- gt zybourne clock predicted vaping"
"NOT-1stPerson","#2 week paycheck calculator piedmont tobacco"
"NOT-1stPerson","#2017NCTOH Minnesota once again among the leader's in declining smoking by our young"
"NOT-1stPerson","#2017NCTOH New way to look at the data look at all combustible tobacco products together Million Hearts is doing this"
"NOT-1stPerson","#5 Smoke on Inverted Let's go Cross tnrn now Split S ready now 3900"
"NOT-1stPerson","#8PM #H #6OnionPoppyCiabattaRollHamSalamiMuensterCheeseSandwich #Coke New PK #Cigarettes DVR3ed 7PM #Jeopardy"
"NOT-1stPerson","#AATrafficJHB Marlboro North CRASH near Zinnia Drive HEAVY TRAFFIC Zinnia Drive Eastbound"
"NOT-1stPerson","#abrasive blast booth victory electronic cigarettes"
"NOT-1stPerson","#academic field trips best e cig for quitting smoking"
"NOT-1stPerson","#after effects of quitting smoking cigarettes affordable automotive chico ca"
"NOT-1stPerson","#alternatives to smoking cigarettes mri prostate scan"
"NOT-1stPerson","#amg mercedes sl65 e cigs to quit smoking"
"NOT-1stPerson","#at amp t overland park stop smoking aids coupons"
"1stPerson","#authorconfession D2 coffee and my e smoke (I know trying to quit )"
"NOT-1stPerson","# mist THE ORAL CIGARETTES"
"NOT-1stPerson","#bbcsp Shisha bars should remain unregulated as should cigar bars be unregulated"
"NOT-1stPerson","#benefits of quitting smoking 1953 mgtd"
"NOT-1stPerson","#best e cig for quitting smoking cheap organic food delivery"
"NOT-1stPerson","#best e cig for quitting smoking mesa az ford"
"NOT-1stPerson","#best e cig for quitting smoking westside dodge"
"NOT-1stPerson","#best referrals stop smoking literature"
"NOT-1stPerson","#best vape liquid flavors magic 1077"
"NOT-1stPerson","#best way to stop smoking cigarettes free como instalar camaras de seguridad cctv"
"NOT-1stPerson","#BPAL today is The Initiation ""Red wine and vanilla pod infused with caramel peach tobacco flower and coconut """
"NOT-1stPerson","#breast enlargement without surgery cigarette smoking facts and statistics"
"NOT-1stPerson","#campaigns against smoking shower door shims"
"NOT-1stPerson","#car seat cigarette burn repair traveling for college students"
"NOT-1stPerson","#cheap accommodation in osaka tobacco dips"
"NOT-1stPerson","#chewing tobacco dangers beacon safety"
"NOT-1stPerson","#ChoreSongsShowsOrFilms Emptying out the Cigarette Buds in the Boys Room"
"NOT-1stPerson","#cig coupons dr hanson chiropractic"
"NOT-1stPerson","#cig coupons top oil and gas law firms"
"NOT-1stPerson","#cigar smoking facts employee incentive ideas on a budget"
"NOT-1stPerson","#cigarette ashtray for outside irs houston texas"
"NOT-1stPerson","#cigarette ashtray for outside used car for sale in puerto rico"
"NOT-1stPerson","#cigarette butt dispenser jobs a"
"NOT-1stPerson","#cigarette cessation high tech surveillance tool crossword"
"NOT-1stPerson","#cigarette cessation rugs dirct"
"NOT-1stPerson","#cigarette chemical list basal cell treatment and prognosis"
"NOT-1stPerson","#cigarette chemical list howes cavern hotels"
"NOT-1stPerson","#cigarette commercials are bullshit"
"NOT-1stPerson","#cigarette health hazards military discounts theme parks"
"NOT-1stPerson","#cigarette industries how to eat healthy to lose weight and gain muscle"
"NOT-1stPerson","#cigarette package design cia university"
"NOT-1stPerson","#cigarette popularity california closets wheeling il"
"NOT-1stPerson","#cigarette smoke causes cancer samhsa locator"
"NOT-1stPerson","#cigarette smoke eliminators how long do dodge durangos last"
"NOT-1stPerson","#cigarette smoke exhaust system cancer synptoms"
"NOT-1stPerson","#cigarette smoke remediation 20 year bond rate history"
"NOT-1stPerson","#cigarette smoke remediation iso 639 1"
"NOT-1stPerson","#cigarette smoking facts and statistics free advertising for events"
"NOT-1stPerson","#cigarette store mortgage rates and payments"
"NOT-1stPerson","#cigarette tobacco in pipe copyrighting t shirt designs"
"NOT-1stPerson","#Cigarettes are killers that travel in packs #QuitSmoking"
"NOT-1stPerson","#cigarettes health risk hedge fund strategies"
"NOT-1stPerson","#cigarettes health risk tuneup for cars prices"
"1stPerson","#clean murder mystery party where can i buy e cigs"
"NOT-1stPerson","#cms examples anti smoking commercial"
"NOT-1stPerson","#constipation burping cigar mouth cancer"
"NOT-1stPerson","#contact sallie mae student loans age to buy cigarettes in florida"
"NOT-1stPerson","#corporate gifts nyc are e cigs safer"
"NOT-1stPerson","#Custom seized a stock of #cigarettes worth approx Rs 193 million in a suspicious container in Orugodawatta #lka #SriLanka"
"NOT-1stPerson","#dark blue slim fit jeans smoking cessation certification training"
"NOT-1stPerson","#dealinfo 618 81m Golden State Tobacco Securitization Corp series 2017 A 1 mktg an ABS backed by tobacco settlement revenues"
"NOT-1stPerson","#does smoking cigarettes cause breast cancer resell clothes nyc"
"NOT-1stPerson","#dog grooming software reviews smoking vs nonsmoking"
"NOT-1stPerson","#dow futures bloomberg tobacco powerpoint"
"NOT-1stPerson","#downtown denver venues do light cigarettes have less nicotine"
"NOT-1stPerson","#Drugs and #cigarettes are for #losers #reality #struggle"
"NOT-1stPerson","#eagle cigarette receptacles custom bus bars"
"NOT-1stPerson","#ecigarette legislation passes -MENTION- Council Thank you to all the council members who voted in favor of this bill #cleanindoorair"
"NOT-1stPerson","#Ecigs 81 of kids who ever used #tobacco started with a flavored product via -MENTION-"
"NOT-1stPerson","#equinox car best e cig starter kit"
"NOT-1stPerson","#Eyebags cause Alcohol and tobacco contain toxins that may lead to stress fatigue and hormonal changes"
"NOT-1stPerson","#family tour italy quit smoking services"
"NOT-1stPerson","#florida llc operating agreement template free pill to help stop smoking"
"NOT-1stPerson","#globe education network how to stop smoking cigarettes when pregnant"
"NOT-1stPerson","#GOPHealthPlanIn10Words who needs health care when you got guns and cigarettes"
"NOT-1stPerson","#hard disk recovery cost tobacco long term effects"
"NOT-1stPerson","#health e cigarette review how to make a typography"
"NOT-1stPerson","#health food stores in plymouth mi where can i get help to stop smoking"
"NOT-1stPerson","#help reading health from smoking"
"NOT-1stPerson","#hookah site migraine and sinus"
"NOT-1stPerson","#hookah smoke shop handyman durham nc"
"NOT-1stPerson","#how long does menopause fatigue last what are some ways to stop smoking"
"NOT-1stPerson","#how much does workers comp insurance cost are e cigs safer"
"NOT-1stPerson","#how much nicotine is in a single cigarette green mountain organic vodka"
"NOT-1stPerson","#how old do you have to be to smoke cigarettes fall aeration"
"NOT-1stPerson","#how old do you have to be to smoke cigarettes hunter douglas blinds prices"
"NOT-1stPerson","#how smoking affects your body 25 micron bag filter"
"NOT-1stPerson","#how to get rid of cigarette smoke in car trapcode form tutorial"
"NOT-1stPerson","#how to quit smoking cigarettes on your own battery backup lights"
"NOT-1stPerson","#human resource conferences cigarette bad"
"NOT-1stPerson","#job description for pastry chef cloud blower vape"
"NOT-1stPerson","#juul please respond to my emails it's really disappointing that it takes 3 5 days to email me back"
"NOT-1stPerson","#kayser jeep madison help to quit smoking cold turkey"
"NOT-1stPerson","#kinky #smoking bonn #swingersnight #sugardating tease #umea istanbulanalescort"
"NOT-1stPerson","#large party restaurants after effects of quitting smoking"
"1stPerson","#little bears child care where can i buy e cigs"
"NOT-1stPerson","#lung disorders from smoking tearpad printing"
"NOT-1stPerson","#macon #Georgia needs a #cigar and #wine lounge"
"NOT-1stPerson","#majestic e juice essay paper writing"
"NOT-1stPerson","#majestic e juice free news magazines"
"NOT-1stPerson","#ManPraGANDHA Tobacco is a product prepared from the leaves of the tobacco plant by curing them The plant is part of the genus Nicotiana"
"NOT-1stPerson","#marlboro nicotine content mg gold buyers pittsburgh"
"NOT-1stPerson","#matc milwaukee why do you gain weight when you stop smoking"
"NOT-1stPerson","#ModernCatholicism Incense flavored vape"
"NOT-1stPerson","#newport cig coupons diabetes pain in hands"
"NOT-1stPerson","#newport cigarettes stock oak middle school website"
"NOT-1stPerson","#nhs view on electronic cigarettes tv rusia"
"NOT-1stPerson","#non nicotine e cigarette safe easy carpet"
"NOT-1stPerson","#NoSmokingDay Vape instead"
"NOT-1stPerson","#NoSmokingDay try #vaping instead"
"NOT-1stPerson","#NoTobacco -MENTION- -MENTION- Aramco -MENTION- #SaudiArabia will impose excise tax on harmful products doubling price tobacco"
"NOT-1stPerson","#nowplaying Cigarettes And Alcohol by Oasis"
"NOT-1stPerson","#oregon tobacco quit line bulman cutter"
"NOT-1stPerson","#outsiders smoking the exploding cigar wankers diversity quotas So much material to work with"
"NOT-1stPerson","#panorama #benefitcap is making me so angry little Jonny is having no xmas pressies this year but mum amp dad have enough for fags amp alcohol"
"NOT-1stPerson","#party tent rentals bay area ca majestic e juice"
"NOT-1stPerson","#paul winston rings cigarette bad"
"NOT-1stPerson","#penguin books publishing city after effects of quitting smoking cigarettes"
"NOT-1stPerson","#personal jira board smoking cessation toolkit"
"NOT-1stPerson","#pig n pancake cannon beach or anti smoking"
"NOT-1stPerson","#plumber's friend should smoking cigarettes be illegal"
"NOT-1stPerson","#polypropylene column quit smoking forum"
"NOT-1stPerson","#quit tobacco program best windows 7 phone"
"NOT-1stPerson","#quitting smoking tobacco collision repair estimator salary"
"NOT-1stPerson","#quitting tobacco tips smelly pee"
"NOT-1stPerson","#Rajbudget2015 Cigarettes to get expensive Good job -MENTION- -MENTION- -MENTION- -MENTION- -MENTION-"
"NOT-1stPerson","#remote surveillance cameras cigarette smoking history"
"NOT-1stPerson","#restaurants in garden city what is the cancer causing agent in cigarettes"
"NOT-1stPerson","#revolver e cig review medication treatment for adhd"
"NOT-1stPerson","#rule1 don't ask for a cigarette #cigaretterules"
"NOT-1stPerson","#SafeworkplaceForWomen Beer drinking cigarette smoking provocatively dressed of Nehru ideology liberals is THE problem -MENTION- #Wethepeople"
"NOT-1stPerson","#sale invoice e juice flavor calculator"
"NOT-1stPerson","#santa rosa singles american spirit cigs"
"1stPerson","#sat prep tucson where can i buy e cigs"
"NOT-1stPerson","#scholarship for african american females what is the relationship between smoking and lung cancer"
"NOT-1stPerson","#send flower what happens when you stop smoking cigarettes cold turkey"
"1stPerson","#SheeSha #PeeeNa #A #Ty #JeeNa #A #DuNiYo #ChO #Ki #LeNa MiaN BiLaL ka ChAsKa drinking smoking shisha"
"NOT-1stPerson","#shoes size eee anti tobacco advertising campaign"
"NOT-1stPerson","#shortness of breath smoking cessation one way air flow vent"
"NOT-1stPerson","#skin improvement after quitting smoking project management document repository"
"NOT-1stPerson","#smoke free e cigarettes cathay pilots"
"NOT-1stPerson","#smoke free now golf courses orlando fl"
"1stPerson","#smoking #exwife webcam #abigail police #girl #clapping mexican"
"NOT-1stPerson","#smoking and cancer best prepaid phones for seniors"
"NOT-1stPerson","#smoking causes death ssi cleaning company"
"NOT-1stPerson","#smoking cessation benefits timetable w w w globo esporte"
"NOT-1stPerson","#smoking cessation certification training goodnight nobody jennifer weiner"
"NOT-1stPerson","#smoking cessation intervention chase bank cash advance checking account"
"NOT-1stPerson","#smoking cessation medications union unversity"
"NOT-1stPerson","#smoking chart london paddington hotel"
"NOT-1stPerson","#smoking lung cancer risk alamo car rental scottsdale"
"NOT-1stPerson","#smoking lung cancer risk rhythm creator online"
"NOT-1stPerson","#smoking lung cancer symantec data loss prevention price"
"NOT-1stPerson","#smoking psa weekly report generator"
"NOT-1stPerson","#smoking related diseases list city of seattle electrical inspections"
"NOT-1stPerson","#smoking website q productions las vegas"
"NOT-1stPerson","#smoking with a nicotine patch on create a business plan online for free"
"NOT-1stPerson","#SPOILER There's a scene in new #Logan #Xmen #movie featuring a character #vaping So you know it's set in the future #MARVEL #nosmoking"
"NOT-1stPerson","#SRNT2017 #KarlFagerstrom tobacco dependence far more than nicotine delivery frequency route amp context play a role"
"NOT-1stPerson","#SRNT2017 now preconference on Noval approaches to implementing tobacco treatment within health systems"
"NOT-1stPerson","#SRNT2017 session on reducing nicotine in tobacco as a policy for tobacco control #NIHIs #-MENTION- speaking"
"NOT-1stPerson","#StepsToReverseClimateChange Smoke cigarettes backwards"
"NOT-1stPerson","#submersible connectors ventilation system for cigar lounge"
"NOT-1stPerson","#teamhertsph are out and about helping people quit smoking or swap cigs for vaping today for #nosmokingday #Hertssmokefree #publichealth"
"NOT-1stPerson","#the benefits of stopping smoking froberg funeral home"
"NOT-1stPerson","#ThingsThatDontMix Me and girls who smoke cigarette"
"NOT-1stPerson","#tobacco cancer statistics hotel empire new york gossip girl"
"NOT-1stPerson","#tobacco cessation medications bladder scans"
"NOT-1stPerson","#tobacco free ca communications training"
"NOT-1stPerson","#tobacco free ca elliptical cycle benefits"
"NOT-1stPerson","#tobacco smoking auto glass lynnwood wa"
"NOT-1stPerson","#tobacco smoking image size for poster printing"
"NOT-1stPerson","#UKvUSA leather bound books and cigar room"
"NOT-1stPerson","#UndergroundWGN Somebody give my girl -MENTION- some sunshades and a cigar Straight thug life in this piece #TheBlackRose"
"NOT-1stPerson","#unique christmas gifts for clients symptoms after stop smoking cigarettes"
"NOT-1stPerson","#university of utah health how to make e liquid flavors"
"NOT-1stPerson","#use of cigarettes new cars prices in usa"
"1stPerson","#vape so hard motherf ckers wanna fine me"
"1stPerson","#vaping in ATL airport bathroom AMA"
"NOT-1stPerson","#vapingsaveslives #ivapeivote This just in 10pcs eGo e Cigarette eGo CE4 Kit 1 6ml Atomizer 650mah 900mah 1100mah Battery Blister kit"
"NOT-1stPerson","#vapingsaveslives #ivapeivote This just in E cigarette vaporizer electronic cigarette 650mAh e cig CBD oil 510New"
"NOT-1stPerson","#vapingsaveslives #ivapeivote This just in ecigarin #vape #vapers #ecig #electroniccigarette #boxmod #nosmoke #startvaping #bestvape E"
"NOT-1stPerson","#vapingsaveslives #ivapeivote This just in Electronic Cigarette amp E Vapor Market Outlook 2015 2022 Research Report"
"NOT-1stPerson","#vapingsaveslives #ivapeivote This just in Kirkgate centre welcomes Zuuluu Browline and VIP Premium Vaping and E Cigarette Liquids"
"NOT-1stPerson","#vapingsaveslives #ivapeivote This just in Original EGo AIO electronic cigarette vape pen big smoking cessation big smoke e cigarette on"
"NOT-1stPerson","#vapingsaveslives #ivapeivote This just in Pliers Ceramics Tweezer 1 5mm 3 5mm Coil Jig Electronic Cigarette RDA RBA Atomizer DIY"
"NOT-1stPerson","#vapingsaveslives #ivapeivote This just in Revealed The UK cities endorsing e cigarettes as 1 person switches to vaping every 4 minutes"
"NOT-1stPerson","#vapingsaveslives #ivapeivote This just in Salcar EVOD CE7 Vape Pen E Cig Electronic Cigarette Starter Kit Double Set 5 10ml E Liquid"
"NOT-1stPerson","#vapingsaveslives #ivapeivote This just in Ugo electronic cigarette battery 650 900 1100mah EGO e cigarette ecig ecigar USB evod"
"NOT-1stPerson","#vaporless electronic cigarette legal consequences of alcohol"
"NOT-1stPerson","#viking electric what percent of nicotine is in one cigarette"
"NOT-1stPerson","#vitimins e liquid stickers"
"NOT-1stPerson","#what happens after you quit smoking timeline physical science problem solver"
"NOT-1stPerson","#what health problems does tobacco cause incabloc swiss made"
"NOT-1stPerson","#what health problems does tobacco cause pnc bank certificate of deposit"
"NOT-1stPerson","#What Is An Electronic Cigarette #social #marketing -MENTION- -MENTION- -MENTION- -MENTION-"
"NOT-1stPerson","#what is the best way to eliminate cigarette smoke odor fixing bathroom tile"
"NOT-1stPerson","#what is the best way to quit smoking naturally smart building technologies"
"NOT-1stPerson","#what is the cause of smoking cigarettes car rental france advice"
"NOT-1stPerson","#what is the cause of smoking cigarettes carbide ball mill"
"NOT-1stPerson","#WhatILearnedToday Sometimes a cigar is just a cigar Other times it's an articulate message about the inclusive diversity of ball peen"
"1stPerson","#where can i buy e cigs disc degeneration nos"
"NOT-1stPerson","#whole leaf chewing tobacco cases on whistleblowing"
"NOT-1stPerson","#whole leaf chewing tobacco hase wood stove"
"NOT-1stPerson","#will an air purifier help with cigarette smoke smell do migraines make you dizzy"
"NOT-1stPerson","#YogiAdityanath bans tobacco in offices amp schools Amazing Why not in the entire state"
"NOT-1stPerson","10 for a damn cigarette kill me already"
"NOT-1stPerson","UBQU #BREAKING Setting up to explode Stocks on watch -MENTION- AMMJ VAPE CGC #marijuana"
"NOT-1stPerson","04 Limited CIGARETTES"
"1stPerson","1 cig takes the stress away"
"NOT-1stPerson","1 cigar shortens ur life by 2 hrs 1 bottle of vodka by 3 hrs amp a workday 8 hrs Learn 2 make ur money work 4U instead of U working 4 money"
"1stPerson","1 day 2 packet cigg really gg"
"1stPerson","1 28AM Sitting outside listening to music and smoking a cigarette #littlethings"
"1stPerson","100 Retweets and I'll quit smoking"
"1stPerson","100 @ the hookah bar"
"NOT-1stPerson","101 teenagers smoking ain't cool"
"1stPerson","13 for a pack a cigs you"
"1stPerson","1st i lost my almost full pack of ciggs Then i lost my phone But it got returned thankfully Then i hit n run a monkey(it survived)"
"1stPerson","1st we Hit Brooklyn with the cigs then we headed to more boroughs (Marlborough) NJT"
"NOT-1stPerson","1x Cigar smoking clip Jess relaxing and smoking a big cigar"
"1stPerson","2 A M Cig break #midnightmadness"
"1stPerson","2 A M Cig break #midnightmadness"
"NOT-1stPerson","2 cigarettes an bus fair home for nice women"
"NOT-1stPerson","2 cops at the super quik in Raceland are sitting side by side vaping back and forth with each other I am DEAD"
"1stPerson","2 in the morning and I'm still kinda weak again i smoke a cigarette and play another waiting game"
"NOT-1stPerson","2 vape boys and a puppy walk into cartel no girls pay attention to them they leave bye vape boys"
"NOT-1stPerson","20 Off Colorado Glass 5 Off Shirts 2 Off Hats 8 bottles of E Juice"
"NOT-1stPerson","2017 X Files reboot smoking man is now vaping man"
"1stPerson","23 00 Hookah Time"
"1stPerson","2nd im smoke a good 2 5 3gs in a -MENTION- swear i be in my Zone"
"1stPerson","3 Ciggs In 5 Mins Awesome"
"1stPerson","3 ciggs in one break hmm wonder if my adrenalines sky rocketing today haha"
"1stPerson","3 in the morning li'i is knocked out and I'm just vaping my life away"
"NOT-1stPerson","3 things that stain your teeth as a man or lesbian 1 tobacco 2 coffee 3 make up on your girl's face neck"
"NOT-1stPerson","3 white boys vaping and driving miles for fucking pizza at a mcdonalds and yelling profanity nonstop"
"1stPerson","3 15 AM Alone time music cigarette and sky gazing"
"NOT-1stPerson","3 25 2017 -MENTION- #Saturday Daily MEDICAL Deal 30 Off All #Vape Cartridges Pens amp Refills #Keepingkind #keepingdiscreet #vape #weekend"
"NOT-1stPerson","30 days left no smoking Jasmine I have to keep telling myself that"
"1stPerson","30 min break at work quality time w the juul"
"NOT-1stPerson","30 Off E Cig Mods 8 E Juice 2 Off All JUUL Products Except Chargers and Like Always Smiles Are Free"
"NOT-1stPerson","3am walks thru the blizzard cos ur out of smokes hashtag canada hashtag nicotine"
"NOT-1stPerson","4 100 PLATINUM VAPE #VAPEISLIFE #VAPELIFE #TURPS #GRANDRELEAFMEDS #DEALSONDEALS"
"1stPerson","4am smoking a cigarette talking to my fav"
"1stPerson","5 years of cigarette smoking and still no rasp what am I doing wrong here"
"NOT-1stPerson","6 total Squirt Peewee amp Bantam Select teams ship off to Marlboro MA for the #MarchMadnessTourney this weekend #WildcatHockey #GoCatsGo"
"NOT-1stPerson","70s music will have you feeling groovy than a mf' while smoking"
"NOT-1stPerson","8 52am guy smoking a cigar in a nissan altima outside the coffee shop"
"NOT-1stPerson","8 She once cried because their manager oppa promised her that he would quit smoking if they won a MMA award but he smoked in front of her"
"NOT-1stPerson","80 of smokers start smoking before turning 18"
"1stPerson","800 Retweets and I'll start smoking cigarettes"
"NOT-1stPerson","90 of staten island guys explained in three words protein vape and Q50"
