"labels","text"
"current","23 00 Hookah Time"
"current","2nd im smoke a good 2 5 3gs in a -MENTION- swear i be in my Zone"
"current","3 Ciggs In 5 Mins Awesome"
"current","3 ciggs in one break hmm wonder if my adrenalines sky rocketing today haha"
"current","3 in the morning li'i is knocked out and I'm just vaping my life away"
"current","3 15 AM Alone time music cigarette and sky gazing"
"current","30 min break at work quality time w the juul"
"current","4am smoking a cigarette talking to my fav"
"current","5 years of cigarette smoking and still no rasp what am I doing wrong here"
"current","800 Retweets and I'll start smoking cigarettes"
"current","A cigarette and an ice cold beer would be perfect rn"
"current","A cigarette would be nice rn"
"current","a cigarette would be nice with this coffee"
"current","a cup of coffee and a cigarette please #Iwish"
"current","A nice glass of -MENTION- and a nice cigar would be amazing right now"
"current","A pack of cigarettes and smiroff will hit the spot"
"not-current","a stranger gave me cigg"
"current","A wild and crazy weekend involves sitting on the front porch smoking a cigar reading a book Robert M Gates #kindle"
"not-current","A year and 3 months clean from #Alcohol amp #Cigs #praiseBeToGod"
"current","I really needed to restock on bullets maybe I can get a few cigarettes while we re at it"
"current","About to go smoke since I'm up"
"current","about to smoke w my co worker than head home to my shower amp bed"
"current","About to watch this movie n blow this hookah"
"current","Aesthetic smoking a cig while on the treadmill"
"current","Aesthetic smoking a cigarette outside the court house with a tank top and pajamas on"
"current","Again wit the bestie shhhmokin hookah sippin"
"current","Ah yis smoking shisha with frineds is what a person needs sometimes #Saturday"
"current","all i do in my break is chug redbull and hit my juul"
"current","All I do is vape and eat pizza I am truly ashamed of myself"
"not-current","Almost a month and a half without cigarettes and it feels bomb af"
"current","Almost halftime for #Gonzaga -MENTION- game get to -MENTION- for a #cigar and the game on the patio #spokane"
"not-current","Almost one year smoke free go me"
"current","Already stressed out and realised i'm out of cigs Stressed out even more now"
"current","alright cig time i'm heated"
"current","Alright I'm trying to go from cigs to vaping but so far still just seems weird to me"
"not-current","also i lit a cig with a 1975 lighter today and it made me feel as tho i peaked as a Pretentious Indie Fuck"
"current","Also nothing beats smoking a cig in bed while watching a movie"
"current","Am I allowed to smoke cigs in my dorm #ReplyTweet"
"current","am I late to this Diet Cig party"
"current","And at the end of the night it's only music cigarettes in the darkness of four walls loneliness and myself #goodnight"
"current","And by productive I put on a face mask and have a cigarette That's productivity to me"
"not-current","And i just threw my vape away"
"current","And I love me some marlboros lol"
"current","And my vape already taste like coal"
"current","And on that note i have to go smoke"
"current","And still sitting here (my vegetables are still in the kitchen)drinking coffee and smoking cigarettes dam I'm fucking tired"
"current","Any suggestions on good bar cigar bar spots Possibly with a kitchen that's open late"
"current","Any1 in col wanna come for a cig break lol"
"current","Anyhow I'm celebrating cigar and White Remy UNC won different V new life coming"
"current","Anyone know where I can get shisha tobacco in Ealing Ta"
"current","Anyone tryna smoke this evening"
"current","Anyone wanna smoke rn I'll pick you up ("
"not-current","Anytime a Buckcherry song comes on I'm instantly back in middle school sneaking cigs out my window trying to be the most tragic person #tbt"
"current","Smoking reading the Bible listening to more life"
"current","Arturo Fuente Curly Head Deluxe Yes please Just puffed one up so nice Smooth mild and nutty #cigar #herf #Portland"
"current","As bad as it is a cigarette before bed always calms me"
"current","As I smoke a cigar in Napa valley while waiting on room service I realized #LifeIsGood"
"current","At 'the hatter' a bit worse for wear and smoking cheap cigarettes yeahhh boyeeee Lol"
"current","at Fog Hookah Bar"
"current","At meineke with an ice cream and cigarettes"
"current","At one point I would get offended if a cashier carded me for cigarettes but now I just take the compliment"
"current","at school i'd reward myself for hitting certain word counts with sweets and now it's moved onto cigarettes i love evolution"
"current","at the hookah bar like I ain't got work tom ("
"current","Attempting to pluck my eyebrows while smoking a cigarette"
"current","Awesome potato chips sleep fast cigarettes soon"
"current","Ay bro u mind if I hit ur juul mine ran outta juice"
"current","back at it again w the crying while listening to brand new outside smoking cigs"
"current","Back on the vaping ting"
"current","Back porch coffee cigarette peace"
"current","Back to my wine and cig nights I'm feeling fucking fancy"
"not-current","Basically got paid to smoke cigarettes and play 8 ball pool today"
"current","Beach hookah"
"current","because im sick im drinking pineapple juice instead of coffee while smoking"
"current","been shamefully watchin friends and smokin cigs in my room all night and every time i light a cigarette chandler pulls one out"
"current","Beer 'n cigar o'clock"
"current","Beer and hookah"
"current","Beer in one hand cigar in another and no limit at the table #casino #14"
"current","Beer pizza a littlr bit of smoke plus some -MENTION- on the speakers my Saturday night #capebreton #mylife #cbd"
"current","Being an adult is smoking a cigarette and drinking out of a juice pouch at the same time"
"current","Between the shite diet the smoking and the regular sleep deprivation am probably set to look about 50 by the time am 23"
"not-current","Beyond happy i dont smoke cigarettes anymore"
"current","BlackFriday BlackFriday is too good for me because i used electronic cigarette which i missed a lot"
"current","Blowin hookah listening to good vibes"
"current","Blueberry mint hookah amp an L Wake amp Bake lit"
"current","Bottle of wine and a cigar life has a meaning"
"current","bought my 1st #ecig bc there's in new #house commune I'm livin in Been thinkin ab switching to #vaping anyway so I'll c how this goes"
"current","Bought some wine amp a personal henny amp got my hookah My Thursday"
"current","Bout to relax and smoke Who should I listen to"
"current","Bout to sip Dusse and smoke hookah and hopefully play 2k"
"current","Boutta Start Smoking Cigarettes"
"current","Boy I can't w8 to vape hydrogen cyanide"
"current","Bring cigs to 67th"
"current","Bring me a cig plz"
"current","Bring me a cigar I'm in the burg"
"current","bring me cigs if you real"
"current","Bring us cigarettes or booze SOS"
"current","Bubbly amp hookah w -MENTION-"
"current","Bumpin earl sweatshirt smoking cigarettes till my chest hurt"
"current","but am still friends with a Vape pen hanging out"
"current","but first i need to go to the liquid store to buy new liquids for my e smoke"
"current","but honestly chillen on my roof smoking sounds much better rn"
"current","but i need money for cigarets"
"current","but i need money for cigarets zzzzzzzzzzzzz xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx"
"current","but I promised to go to hookah"
"not-current","But I tried this mint flavor OMG I b wanting to smoke hookah erryday now"
"current","Can I just be home with my pipe in bed smoking"
"current","CAN I SMOKE IN PEACE NOW FOR THE LOVE OF JEON"
"current","Can someone drop me a pack of cigarettes pls"
"current","Can someone find me some blackberry peach vape juice"
"current","can someone get me a pack of cigarettes"
"current","can someone pls buy cigarettes for me i is broke"
"current","Can someone recommend me good food place with shisha too please thanks xx"
"current","Can't be wit me if you don't know how to set up the hookah"
"current","Can't breathe too much alc ane cig"
"current","can't find my ecig and I'm about to start throwing shit"
"current","Can't just be me that thinks sterling menthols are the tackiest cigs going"
"current","Can't sleep watched rise of the foot soldier already might as well stick on nmb2 #insomnia #sober #vaping #aspire"
"current","Can't sleep I need a cigarette so bad but don't wanna go out in the rain and I refuse to make my lil girl a victim of secondhand smoke"
"current","Can't smoke w anyone who holds the smoke in they mouth like a bitch"
"current","can't wait to be able to buy my own cigarettes and give myself lung cancer"
"current","Can't wait to get back to the pad set up the hookah and bump the new Mike Will Trey Songz Goldlink and Raekwon"
"current","Can't wait to smoke this bluntt"
"current","Can't wait until I can smoke again"
"current","Cant beat a shisha and a mint tea to wind down"
"current","casually smoking a cigar using the restroom i'm actual goals"
"current","Casually standing outside in my boxers and flip flops smoking a cig"
"current","CATCH ME IN MY BACKYARD SMOKIN HOOKAH AND CRYING TO MADIBA RIDDIM ALL SUMMER 17"
"current","Caught a plug caught a play time 2 smoke again"
"current","cause I'm a whiskey drinking fight provoking cigarette smoking dude I got a problem with my attitude it's hard for me to keep cool"
"current","cause I m a whiskey drinking fight provoking cigarette smoking dude I got a problem with my attitude it s hard for me to keep cool"
"current","Cause of all the latest shit i become addicted to cigarettes But it's actually beautiful"
"current","Chain smoking"
"current","Chain smoking at 1 am"
"current","Chain smoking cause I'm stressed"
"current","Chain smoking cigs by myself What else is new"
"current","chain smoking cigs to make myself feel better"
"current","Chain smoking coz why not I'm stressed as fuck"
"current","Chain smoking in the whip it's hard to breathe"
"current","Chain smoking till my lunges collapse"
"current","Cheering on Team USA in the WBC with Dunbarton Tobacco amp Trust Mi Querida Ancho Largo"
"current","Chewin up my cigarette and smokin my gum"
"current","Chillin at the hooka lounge and played -MENTION- pump it up and that shit still go"
"current","Chilling at the hookah bar getting faded"
"current","chowess' gf looooves cigarettes"
"current","Cig and coffee mode"
"current","Cig break"
"current","Cig cravings are strong today"
"current","cig n coffee n hug would b nice"
"current","Cig then taking advantage of Kaia sleeping and letting myself nap"
"not-current","Cig Finish cleaning then maybe bed What is sleep tho Jk Ha"
"not-current","Cigar and cigarette ashes As I open all my luggage up"
"current","Cigar on the front stoop Listening to some older Gaslight Anthem tracks Casanova Baby"
"current","Cigar run but the rain smh"
"current","Cigar time"
"current","Cigar time"
"current","Cigar time with a coat Just winter"
"current","Cigar time with a coat"
"current","Cigar time"
"current","cigar wine amp dominoes sunday funday"
"current","Cigar Cognac ""Trouble Man Heavy Is The Head"" album all while sitting on my front porch #LifeIsGood"
"current","Cigarette in my pocket I think that's a problem"
"current","Cigarette time"
"current","Cigarette time is the right time at night time in my time xx"
"current","Cigarette to erase the stress"
"current","Cigarettes amp Cush #Merky"
"current","Cigarettes and cheap coffee"
"current","Cigarettes and coffee and whiskey #itsawrap"
"current","Cigarettes and coffee r my favorite thing in the world"
"current","cigarettes and jazz music very much needed rn"
"current","Cigarettes and trucker hats my Saturday nights"
"current","cigarettes for breakfast"
"current","Cigarettes make me poop too"
"current","Cigarettes on cigarets my mama think I stink"
"current","cigarettes rainy nights and existential dread"
"current","Cigarettes sun block and cheap liquor"
"current","Cigg break"
"current","cigs over food"
"current","Cleaning my house is also an activity I didn't know I enjoyed Cleaning while jamming while smoking then sleeping Bliss"
"current","Cleann apartment smoking and waiting for my baby to bring me home my friendlys"
"not-current","Coffee amp cigs ain't sittin too well this morning"
"current","Coffee and a cig wake ya up but make ya shit"
"current","Coffee and a cigarette for me milk and a granola bar for baby Adventure Time for wifey and sleep for Daddy #polyparenting"
"current","Coffee and cig"
"current","coffee and cig"
"current","Coffee and cig while waiting on my truck happy Saturday"
"current","coffee and cigarette"
"current","Coffee and Cigarettes are best when shared with you"
"current","Coffee and cigarettes are my guilty pleasure"
"current","Coffee and cigarettes at 2pm counts as breakfast right"
"current","Coffee and ciggs smell phenomenal together"
"current","Coffee and cigs would be perfect right now (((("
"current","Coffee stained lips and cigarette stained fingertips in summer"
"current","Coffee a cigarette and a good book"
"current","Come to the hookah lounge"
"current","Considering smoking just so my ass won't hurt as much just so I can ride my bike somewhere to smoke lmao"
"current","Constantly smoking sipping and stitching NoSleep"
"not-current","Could have lit the hooka on my break too smh"
"current","Craving for a cigarette"
"current","Crib turned hookah bar"
"current","Current mood listening to alomar in my garage smoking cigarettes and trying to write music"
"not-current","Currently having flashbacks to smoking hookah with -MENTION- in some random dudes basement An interesting night"
"current","Currently sitting naked on my bathroom floor smoking tobacco from a pipe"
"current","Currently smoking a cig outside of Hardware alone #loser #help"
"current","Currently smoking shisha"
"current","currently so happy because my besties and i just got our hookah"
"current","currently vaping my life away"
"current","Cuttin liquor an tobacco out of my life"
"not-current","dam this cig buzz got me fukd up"
"current","Damn Bitch I can't even smoke a cigarette cause mfks think I'm doing voodo TF"
"not-current","Damn hookah made me light headed"
"current","Damn I've been coming home from work smoking and knocking out then waking up early af"
"current","Damn my cousin is really a snake for telling my mom I smoke hookah like mind ya shit bitch"
"not-current","Dania comes over we smoke have some good laughs now I'm schleep"
"current","Dark liquor and cigar smoke"
"current","Dave reaching for a cigarette all night lmao"
"not-current","Dawg I just tried to vape and I couldn't take myself seriously I just busted a gut I can't"
"not-current","Day 8 off the ciggs This shit is easy haha #LifeGoals"
"current","Deadass bout to watch scandal and smoke my face off"
"current","Dear some one take me to #Hawaii so that I can vape w the -MENTION- familitty #nodiggity #nodoubt"
"current","Debating on hotbocing my car w this cig so I don't have to stand outside in this cold"
"current","Deep convo amp Good smoke"
"not-current","Def just went for a drive and smoked almost an entire pack in an hour"
"current","def wanna work on quitting smoking"
"current","Definitely almost just walked into the dorm with my lit cig"
"current","Definitely cigar time lol"
"current","Devon told me there are 18 empty packs of cigarettes in my car oops"
"current","Dinner wine and hookah"
"not-current","Dinner coffee hookah pool My study night lol"
"current","Dip and cigarettes are huge turn offs for me"
"current","Do I get a new vape or nah"
"not-current","Done smoking"
"not-current","Done smoking for a while getting back with the flow of the basketball"
"current","Donnas trying to teach me how to roll cigs n it reyt int working out n am just getting angry"
"current","Drakin and smoking right now haha #IfYoureReadingThisItsTooLate #Madonna"
"current","Dressing up for polaroids and cigarettes"
"current","Drinkin' and Smokin' Cigarettes The Reverend Horton Heat"
"current","Drinking coffee smoking cigarettes listening to amazing songs playing foozeball Then going in to face the grind"
"current","Drinking cognac and smoking a cigar at a speakeasy on Miami Beach I think I've reached my final form"
"current","Drinking getting tatted smoking hookah good lil Wednesday for me and mine"
"current","Drinking wine with old cigarettes Listen to Eden Eden is Eden"
"current","Driving my drunk ass to get cigs see ya on the flip side"
"not-current","dropped my half smoked cigarette in a puddle if this isn't the world's way of telling me to kill myself i don't know what is"
"current","drowning my sorrows in coffee and cigarettes"
"current","drunk wearing fuzzy socks my shawdy's dress pastel colors n a bucket hat smoking a cig listening 2 mac demarco who am i '("
"current","Drunken Stay at Home FB Chihuahua Mom completely wiped out her profile and changed her relationship status I need a cigarette for this"
"current","Dude I haven't smoked a cig all day"
"current","Early Tuesday morning Coffee and cigarette time"
"current","Eating A Home Cooked Meal amp Vaping gt gt gt gt Is Life Right Now"
"current","Either we smoking or we drinking or we at eachother throats"
"current","Empire hookah and wine My nights lit By my damn self"
"current","end up buying a new pack cause i left my ciggs at home"
"current","Enjoy it cause it'll just fucc the cash up in a church and used the flame to light a cig and i am drunk"
"current","Enjoying hookah in our garage while watching the rain come down on this cool march night Baby sound asleep Life is grand"
"current","Even looking at a cartoon cigarette makes me crave one the fuck"
"current","ever since i got my juul cigs are like gross to me i can't even smoke a whole one woo"
"current","every time I go out for a cig i disappoint my parents more"
"current","Every time I listen to Green Day I just want to smoke a cig and knock down mailboxes"
"current","Every time I smoke I lose my frames or shades and end up having to buy more"
"current","Every time we go to the hookah bar we make sure it stays lit"
"current","Everyone is at the beach and I'm vaping in my room car"
"current","everyone makes fun of me for rotating cig brands but VARIETY IS THE SPICE OF LIFE B TCH"
"current","Everyone's tryna make a shisha plan and I'm like let's smoke in the park on Markham steeles and this guy thought I'm ded serious"
"current","Everytime I decide to make a hookah at this time I don't regret it lmao"
"current","Everytime I smoke in my room and then fall asleep I have nightmares"
"current","Everytime i stop smoking for a few days everything piss me off"
"current","EVERYTIME I'm with Peedi or nykeria I have to smoke too much"
"current","evr hold ur cig smoke in xtra long hoping it kills u faster"
"current","Facebook is harder to resist than cigarettes and alcohol"
"current","favorite part of coming home in smoking in my bed"
"current","favorite past time is literally just smoking by myself"
"current","favorite vaping time"
"current","Finally vape in peace"
"current","Finishing off my 18th with cough drops cold medicine and cigarettes"
"not-current","First luck cig i flipped was the day that fancy girl accepted my friend request before she did and from that day I never missed a lucky cig"
"current","fk forgotten my cigg"
"current","Flip that cigar click that torch and light that mofo up Good morning beautiful peeps #cigarlife"
"current","Food n cigar run"
"current","Food on the grill Patron in my cup and a lil hookah"
"not-current","FoodPorn I just started a whole30 Decided to full clean with no tobacco and no coffee for me #whole30 #cleaneating"
"not-current","For some reason cigs taste like shit on hwy 37"
"current","Forgot my medication Forgot my phone in the car Dropped my cigar in a puddle just after lighting it worst fucking start to my night"
"current","Fresh tobacco"
"current","Freshly build vape Oh yessss"
"current","fuck i forgot about cigarettes and saints"
"current","Fuck I wish I can have a smoke even though I'm not smoking Work is hectic this morning"
"current","Fuck my cig addicting man"
"current","fuck my fucking dog life i forgot to bring my cigg to work"
"current","Fuck you and I'm gonna be naughty with my cigarette"
"not-current","Fuck I fell asleep writing with a cig and burned my enter button Thank God I can buy an external keyboard for cheap #macforlife"
"not-current","Fuckin vape gave me the hiccups"
"not-current","Fucking hooka got my head hurting"
"current","Fucking miss my vape already"
"not-current","Full disclosure Me and Grover Norquist vaped with some guy who looked an awful lot like the Russian ambassador last summer"
"current","FYI I don't smoke cigarettes no more"
"current","G I'm tired of smelling cigarettes"
"not-current","G that hookah got my head spinnin I'm Finna lay it done wtf"
"current","Gah every time I nip out for a cig the heavens open It's like Travis at V Festival 2000 all over again"
"current","Get out of my room I'm vapeing"
"current","gettin carded for tobacco products really pisses me off"
"current","Gettin' pretty good at droppin' the e cigarette to the floor off my lap every single time I stand up"
"current","Getting a carton of cigs and a large pizza soon"
"current","getting drunk at 2 41 by myself and smoking a whfole pack of cigs cool"
"current","getting our spare room converted into a smoking area"
"current","Getting the hooka ready"
"current","Give me a cigarette and a glass of wine to calm my nerves"
"current","Give me a cigarette my nerves is back"
"current","Give me three cigarettes to smoke my tears away"
"current","Give to me cigaret"
"not-current","glad my 1st experience with vapeing wasnt with a gross juice #smokefree5months"
"current","Glass of wine great friends cigar lounge #fridaynight #thisisthelife"
"current","Glass of wine cigarette amp Tchaikovsky I'm so cultured innit"
"current","god damn there's something about smoking a cigarette in bed I'm in love with"
"current","goin to the hookah bar saturday"
"current","going back to vaping"
"current","Going on like I don't smoke 45685 cigs a day"
"current","going outside to smoke but it's too fucking cold to finish a cigarette"
"current","Gonna smoke and listen to Alan Watts"
"current","Good Morning Everyone Coffee and Cig"
"current","Got a Dab rig vape and some sugar wax learned quickly dabing and vapeing is life #onemore"
"current","got a face mask on n i'm smokin a cig sippin coffee on my back porch in my silk robe and excessively fuzzy pink slippers this is l i v i n"
"current","Got all my hookah stuff now"
"not-current","Got drunk woke up to all my kitchen stools knocked over a cig on my floor and my tv broken"
"current","Got glass of red wine a cigarette Sitting out in deck while neighbor plays classic Blues and Jazz on stereo #lifeisgood"
"current","Got my brews got my smoke got my pen n my pad #InMyOwnZone #LikeThat"
"current","Got my cigg at bpp hahahaha lazy find at hillion so big"
"current","Got my vape coming in the mail and Apple Watch this weekend"
"current","Got the hookah going"
"current","got the incense lit its smoke time"
"current","Got the patio furniture back out cigar lit beer cracked my kinda weather #HappyKyle #HappyMilo"
"current","Gotta stop smoking drunk cigs"
"current","Grab a bottle food and light the hookah over going out anydayyy"
"current","Granny just passed my uncle out here smoking glass"
"current","Guess I should smoke a cigg and try and sleep"
"current","Guy at McDonald asked if we wanted to smoke"
"not-current","ha ha ha ha ha I burnt half my eye lashes off with a lighter trying to smoke while also laying down"
"current","Half time at work smoke session"
"current","hand me a cigarette dawggggg"
"current","Hanging out by myself drinking and smoking and hooping The life"
"not-current","Haven't been to the hookah bar in a long time"
"not-current","Haven't been to the hookah bar in forever forgot how to smoke it"
"not-current","haven't even had my juul for 2 months nd it won't charge anymore"
"current","Haven't hit a blunt in 5 months bout to turn to cigarettes"
"not-current","Haven't smoked in a month Them paccs keep me calm tho"
"not-current","haven't smoked in idk how long so tbh I don't even know how it feels to smoke in your own shit"
"not-current","Haven't smoked in two weeks"
"not-current","Haven't smoked my e cig in two days or put a smoke in my mouth don't even want to either taste will be rotten"
"current","Having a cig and talking to Daren about life on the garage steps will 4ever be my favorite thing to do"
"current","Heading down for coffee and cig"
"current","Heading to a cigar bar"
"current","hello my name is je4emy and I love to vape"
"current","Hereby marking the time of my last and final cigarette"
"current","hey twitter just got back from the gym now im gunna go vape and mod out my car"
"current","hi someone pls bring me taco bell and cigarettes to hooters i work a double and ill kiss u or something"
"current","Hi #blunation I'm currently enjoying my e cig's in Vanilla and Caramel Cafe'"
"current","Hi I want to use a UK registered card for delivery of Juul Pods and Juul starter kit to a US (NYC) address Is that possible"
"current","Hit the vape pen salute the flag grab a pussy and go squat 315 x 5"
"not-current","Hm #NoSmokingDay I quit decades ago but am inclined to go buy a packet of cigs today just to demonstrate I won't be constrained by taboo"
"current","Hold tight all my early birds coffee and a cig then its a 170 studio sesh and gambling on footy long live saturday mornings"
"current","Home alone smoking typical weekend"
"current","Home alone with coffee cigarette and music This is a good morning"
"current","Home alone smoking playing piano"
"current","hooka bar tonite 9 until 754 marshall rode for my bday"
"current","Hooka bar for my birthday no pants just dresses and skirts"
"current","Hooka bar kinda night"
"current","Hooka is dead ass trash that shit gives me a crazy ass headache"
"current","Hooka with my girls"
"current","Hookah tonight till I'm off the shits and the room feels like a MerryGoRound OFFF THE SHITTTTS"
"current","Hookah amp Movies"
"current","Hookah amp wine"
"current","Hookah amp wine"
"current","Hookah and beer"
"current","Hookah and beer type of night"
"current","hookah and drinks"
"current","Hookah and Hennesey the way to my mean ass"
"current","Hookah and ice cream"
"current","hookah and study part 5 is going pretty good"
"current","Hookah and venting with my babe -MENTION- Hannah N"
"current","Hookah and wine"
"current","Hookah and working on music in my zone"
"current","Hookah bar"
"current","Hookah bar surprise"
"current","Hookah bar gt gt gt"
"current","Hookah bar again on Friday"
"current","hookah bar bound"
"current","hookah bar for lil Georges bday lol"
"current","Hookah bar"
"current","Hookah bar"
"current","Hookah Bar"
"current","Hookah bar now"
"current","Hookah bar pull up"
"current","Hookah bar this weekend"
"current","Hookah Bar This Weekend"
"current","Hookah bar time Someone come thru"
"current","Hookah bar tonight"
"current","Hookah bar w my beautiful baby girl -MENTION-"
"current","Hookah bar w my bros soon"
"current","Hookah bar with bae"
"current","Hookah Bar with the gang"
"current","Hookah bar"
"not-current","hookah breath"
"current","Hookah dead Time for bed"
"not-current","Hookah got my head on fire"
"current","Hookah is real love"
"current","hookah lounge anyone"
"current","Hookah lounge byob till 5ish"
"current","Hookah Lounge playing trash right now"
"current","hookah lounge with my ff -MENTION-"
"current","Hookah lounges in queens real wocky lol"
"current","Hookah thurs"
"current","Hookah time"
"current","HOOKAH TIME -MENTION-"
"current","Hookah time #Ultra2017"
"current","Hookah time"
"current","hookah time"
"current","Hookah time"
"current","Hookah x Wine"
"current","Hookah brunch latt s and my turtle"
"current","how do I order to smoke"
"not-current","how i spend 200 @ the hookah bar"
"current","How much street cred do i get for vaping #vape #vapemaster"
"current","How tf do I find myself happy vaping over rolling a cig Younger me is so disappointed"
"current","hugewasteofmoney I need to stop smoking cigarettes hugewasteofmoney"
"current","i accidentally learned how to do that dragon vape trick thing i now promote myself to ultimate vape lordt"
"not-current","I aint smoke hookah since sat im doin better"
"current","i almost burned myself with my cigarette wildt"
"not-current","I almost set my hair on fire trying to lit up my cigarette"
"current","I always smoke so if I burn amp you w me we obviously smoking together it's g but don't expect to smoke out you literally every time"
"current","I am #vaping my 6 dollar fake Kennedy on an eleaf 200watt somethong or other In case you were wondering"
"current","I am an hookah enthusiast I swear"
"current","i am drunk and tried to light a cig but lit it from the filter this is now the second time i've done this"
"current","I am enjoying a good cigar with my evening constitutional inside of course"
"current","I am fueled by coffee and cigarettes"
"current","I am holding my cigarette in the anger position since you're so terrible at reading non verbal cues"
"current","I am in Indiana up way past my bedtime smoking 2 drags off a cig n idgaf sum1 plz call the cops"
"current","I am on mdma dancing around my pool listening to Fleetwood mac smoking a cigarette"
"current","i am smoking a cig in jamaica"
"current","I am smoking but doing my homework bc priorities"
"not-current","I am so tired I just picked up my vape and tried to drink from it"
"current","I am thinking of getting a job so I can buy cigarettes and getting my nails done and getting my hair cut"
"current","I b gettin tired of smoking outta boredom but den I b like Ima smoke regardless"
"current","I be craving cigarettes so bad man fuck"
"current","I been smoking this cigar too long Almost ratchet tv time"
"current","I been smoking to much lately man"
"current","I been so calm lately or maybe cause I smoke and think a lot"
"not-current","I bought a pack of cigs lastnight I fucking hate myself but this malboro black feels so right on my lips"
"current","I bought brownie and mint chocolate shisha I'm really excited to try it out That's how lame I am lol"
"not-current","I bought dried leaves to vape n got raspberry leaf amp orange blossom Bought orange blossom for depression but it's to help with anxiety"
"current","i burned myself w my cig lmfao great"
"not-current","I came out here to smoke not watch mall security vape and assault a shopping cart"
"current","i can legally drink and smoke tobacco in canada on thursday"
"not-current","i can't believe i walked around smelling like cigarette for 6 years"
"current","I can't believe some of the shit I hear at work while smoking all imma say is ""ladies suck ya mans dick"" cause some scuttlebucket will"
"current","I can't eat unless I smoke if I don't smoke I won't have appetite"
"not-current","I can't feel my face I was just date vaped"
"current","I can't fw hookah while I'm drinkin"
"current","i can't wait to smoke a cigarette"
"current","I can't wait to smoke mojito flavored cigarettes with Patri again"
"current","I can't wait until I'm in Florida with a beer in my hand smoking a cigar on the beach"
"current","I CANT WAIT TO VAPE IN IT"
"current","I could use a cigarette right about now"
"not-current","i couldn't sleep so i just vaped a bunch of mugwort and now i simultaneously feel witchy as hell and like the biggest loser of all time"
"current","I deal with stress by blocks of cigarets coffee sleep abuse sleep deprivation and emotional spikes All that sounds rather unhealthy"
